age,education,day,month,y
60,tertiary,20,jun,no
35,secondary,27,jan,no
33,tertiary,12,aug,no
52,secondary,29,aug,no
28,secondary,27,feb,yes
37,tertiary,13,aug,yes
41,tertiary,14,dec,no
35,primary,6,may,no
45,primary,12,aug,no
32,tertiary,18,may,no
56,secondary,30,jan,no
28,secondary,28,jan,no
55,secondary,6,may,no
29,secondary,20,apr,no
58,secondary,25,jun,no
55,secondary,19,jun,no
31,secondary,16,apr,no
56,secondary,21,nov,no
33,secondary,7,aug,no
33,secondary,28,aug,no
48,secondary,6,jun,no
57,secondary,20,nov,no
50,primary,28,may,no
29,secondary,18,may,no
34,secondary,23,may,no
31,secondary,17,apr,no
58,secondary,21,jul,no
31,secondary,7,jul,no
50,secondary,6,aug,no
47,primary,30,may,no
43,secondary,15,may,no
31,tertiary,27,may,no
46,primary,10,jul,no
26,secondary,12,feb,yes
40,tertiary,28,may,no
46,secondary,8,may,no
57,tertiary,18,nov,no
33,tertiary,18,feb,no
48,secondary,12,may,no
34,primary,17,apr,no
57,tertiary,8,aug,no
37,secondary,5,jun,no
44,tertiary,12,aug,yes
57,primary,16,may,no
30,tertiary,6,may,no
48,secondary,8,jul,no
51,secondary,15,jul,yes
60,secondary,4,may,no
37,tertiary,27,may,no
58,primary,17,apr,no
49,tertiary,19,aug,no
26,secondary,8,jul,no
38,tertiary,8,apr,yes
55,secondary,28,jul,no
37,primary,2,feb,no
33,primary,15,may,no
32,secondary,12,may,no
57,secondary,31,jul,no
44,secondary,20,jun,yes
54,tertiary,31,jul,no
48,primary,12,may,no
39,primary,31,jul,no
44,tertiary,21,nov,no
57,primary,29,jan,no
39,tertiary,30,apr,no
46,primary,21,jul,no
39,secondary,3,apr,no
34,secondary,15,may,yes
36,secondary,18,nov,no
29,tertiary,28,may,no
30,secondary,2,jun,no
56,primary,27,jun,no
37,secondary,15,may,no
38,primary,5,feb,no
40,unknown,29,may,no
25,secondary,28,may,no
30,secondary,17,apr,no
37,tertiary,11,jul,no
39,secondary,20,may,no
24,tertiary,12,may,no
42,secondary,2,feb,no
30,secondary,20,nov,no
25,unknown,15,mar,no
31,secondary,8,may,no
34,tertiary,17,nov,no
59,primary,18,nov,no
44,secondary,9,feb,no
53,unknown,20,jun,no
31,secondary,29,jun,yes
47,primary,21,nov,no
40,secondary,20,nov,no
45,primary,12,may,no
30,tertiary,22,aug,no
38,secondary,3,apr,no
38,unknown,20,jun,no
28,tertiary,8,jul,no
36,primary,8,may,no
31,tertiary,11,aug,no
52,secondary,15,may,no
32,secondary,20,may,no
24,unknown,13,may,no
30,secondary,25,jul,no
55,primary,9,jul,no
54,tertiary,13,oct,no
45,tertiary,28,jan,no
36,secondary,7,may,no
38,primary,27,aug,no
59,tertiary,16,nov,no
33,secondary,7,jan,no
61,secondary,23,apr,no
54,tertiary,3,mar,no
31,primary,12,may,no
33,secondary,8,aug,no
44,secondary,5,may,no
24,secondary,26,may,no
47,tertiary,16,feb,yes
31,secondary,11,may,no
30,secondary,7,may,no
46,primary,7,jul,no
35,tertiary,13,apr,yes
33,secondary,11,may,no
27,secondary,19,may,no
33,tertiary,30,nov,no
50,secondary,14,aug,no
33,tertiary,7,may,no
32,secondary,15,may,no
37,primary,24,jul,no
26,tertiary,28,jul,no
26,tertiary,17,mar,no
76,unknown,28,apr,yes
52,tertiary,14,may,no
28,unknown,19,may,no
36,secondary,17,nov,no
78,primary,11,may,no
30,tertiary,25,aug,no
33,secondary,20,nov,no
39,tertiary,21,nov,no
58,secondary,12,aug,no
51,secondary,19,nov,no
55,tertiary,9,jul,no
40,secondary,7,aug,no
45,secondary,27,may,yes
32,primary,20,may,no
45,secondary,30,jun,no
55,tertiary,17,nov,no
33,secondary,6,may,no
42,tertiary,30,apr,yes
34,tertiary,20,nov,no
34,secondary,14,may,no
59,secondary,3,feb,no
31,tertiary,26,aug,no
39,tertiary,28,jan,no
44,secondary,18,aug,no
54,secondary,29,jan,no
45,secondary,3,feb,no
37,tertiary,5,jun,no
53,secondary,17,apr,no
51,secondary,15,jul,yes
50,secondary,18,jun,no
33,tertiary,6,may,no
37,secondary,15,jul,no
39,primary,9,may,no
49,primary,9,jun,no
35,secondary,17,apr,no
33,secondary,30,jun,no
30,secondary,5,may,no
30,tertiary,25,jul,no
57,secondary,7,aug,no
39,secondary,7,may,no
30,tertiary,7,aug,no
36,secondary,29,jul,no
38,secondary,17,nov,no
54,tertiary,13,feb,no
56,secondary,18,aug,no
42,tertiary,26,aug,yes
47,secondary,22,aug,no
39,secondary,12,may,no
40,tertiary,18,nov,no
45,primary,14,may,no
35,secondary,20,may,no
35,tertiary,4,feb,no
30,secondary,19,may,yes
46,secondary,16,may,no
52,secondary,6,jun,no
51,primary,24,jul,no
57,tertiary,18,nov,no
41,secondary,13,may,no
48,secondary,12,aug,no
55,primary,25,aug,no
50,secondary,9,jul,no
35,tertiary,17,apr,no
34,secondary,21,nov,no
30,secondary,3,jun,no
34,primary,26,may,no
40,secondary,20,jun,no
40,secondary,27,may,no
26,secondary,14,may,no
31,secondary,20,may,no
59,tertiary,8,jul,no
30,tertiary,21,jul,no
39,secondary,17,jul,no
21,secondary,12,oct,yes
52,secondary,22,jul,no
34,secondary,25,jun,no
58,primary,15,apr,no
78,secondary,24,feb,yes
39,tertiary,5,apr,yes
54,secondary,10,jul,no
27,unknown,30,may,no
66,secondary,2,feb,no
45,tertiary,19,jun,yes
39,secondary,26,aug,no
35,secondary,6,feb,no
54,tertiary,2,feb,no
39,primary,18,jul,no
57,tertiary,29,aug,no
49,primary,9,jun,no
37,primary,4,aug,no
42,secondary,14,may,no
57,tertiary,17,nov,no
46,primary,25,aug,no
34,tertiary,21,nov,no
41,secondary,11,aug,no
49,primary,20,jun,no
38,primary,13,may,no
32,secondary,28,aug,no
29,tertiary,28,may,no
34,primary,13,jan,no
47,tertiary,17,nov,no
48,secondary,19,nov,no
37,secondary,5,may,no
36,secondary,14,aug,no
33,secondary,22,aug,no
30,tertiary,7,may,no
37,tertiary,12,aug,no
35,secondary,14,may,no
34,tertiary,18,nov,no
31,tertiary,16,apr,no
34,secondary,25,jul,no
46,tertiary,2,feb,no
31,tertiary,7,may,no
26,primary,28,jul,no
32,tertiary,18,nov,no
21,secondary,4,jun,no
33,tertiary,31,jul,no
32,tertiary,7,aug,no
31,secondary,25,jun,no
37,secondary,7,may,no
59,tertiary,7,jul,no
32,secondary,17,nov,no
29,secondary,23,may,no
41,tertiary,17,jun,no
40,tertiary,9,feb,no
37,secondary,22,jul,no
42,tertiary,8,may,no
24,secondary,16,may,no
36,tertiary,30,apr,yes
69,tertiary,29,jul,yes
40,secondary,14,may,no
56,primary,29,jul,no
39,tertiary,17,nov,no
34,primary,8,may,no
36,tertiary,20,nov,yes
44,tertiary,28,aug,no
40,primary,14,may,no
37,primary,9,jun,no
51,primary,12,may,no
48,primary,7,jul,no
35,secondary,14,nov,no
33,secondary,21,may,no
54,tertiary,4,feb,no
31,tertiary,30,apr,no
28,tertiary,30,oct,no
35,secondary,3,jul,no
35,secondary,22,jul,no
53,tertiary,14,jul,no
39,primary,9,jul,no
42,secondary,18,nov,no
31,primary,20,nov,no
45,secondary,7,may,yes
32,unknown,6,feb,no
28,tertiary,5,feb,no
35,secondary,31,jul,no
27,secondary,30,jul,no
39,secondary,17,jun,no
57,secondary,14,may,no
45,primary,7,may,no
44,tertiary,27,may,yes
34,secondary,15,may,no
37,secondary,31,jul,no
47,secondary,16,apr,no
39,secondary,11,may,no
37,primary,26,may,no
34,secondary,23,may,no
46,secondary,29,jan,no
26,secondary,2,feb,no
59,secondary,13,may,no
56,unknown,13,aug,no
29,secondary,10,jul,no
44,primary,21,feb,no
54,secondary,17,nov,no
33,secondary,12,may,yes
35,tertiary,13,may,no
39,primary,21,may,no
41,tertiary,20,nov,no
29,secondary,5,feb,no
44,tertiary,3,jun,no
30,secondary,14,may,no
31,secondary,2,feb,no
49,secondary,1,jun,yes
30,secondary,15,may,no
25,secondary,16,nov,yes
56,tertiary,8,may,no
51,tertiary,21,nov,no
31,unknown,6,may,no
46,secondary,12,aug,no
44,secondary,14,may,no
34,secondary,21,apr,no
32,secondary,8,may,no
48,tertiary,25,jul,no
49,secondary,9,jul,no
32,tertiary,4,may,no
42,primary,8,may,no
30,tertiary,14,jan,yes
27,tertiary,12,may,no
31,secondary,21,may,no
46,secondary,18,jun,yes
39,tertiary,20,nov,no
38,secondary,28,may,no
41,secondary,17,apr,no
32,secondary,16,may,no
50,tertiary,26,aug,no
40,secondary,27,aug,no
48,secondary,19,may,no
29,secondary,5,jun,no
27,secondary,4,jun,no
38,tertiary,3,jun,no
36,tertiary,20,jun,no
58,primary,20,may,no
38,secondary,5,feb,no
28,secondary,12,may,no
46,secondary,10,aug,no
35,secondary,30,jan,no
74,tertiary,20,apr,no
43,tertiary,7,jul,no
40,primary,20,jun,no
31,secondary,2,jun,no
60,primary,13,apr,no
41,tertiary,11,aug,yes
34,secondary,27,may,yes
53,primary,28,oct,no
38,secondary,28,may,no
50,secondary,19,may,no
38,secondary,28,jan,no
28,secondary,7,may,no
37,tertiary,13,aug,yes
48,primary,21,nov,yes
38,secondary,30,jul,no
54,primary,18,jun,no
45,tertiary,20,jun,no
35,tertiary,20,sep,no
33,secondary,29,jan,no
44,secondary,19,jun,no
38,tertiary,27,aug,no
43,tertiary,20,jun,no
29,tertiary,7,may,yes
44,secondary,18,jun,no
55,tertiary,6,may,no
34,tertiary,25,aug,no
55,tertiary,19,nov,no
32,secondary,8,may,no
53,tertiary,13,may,no
36,primary,21,may,no
47,primary,12,jun,no
58,tertiary,17,jul,no
26,tertiary,11,nov,yes
45,secondary,12,may,no
52,tertiary,12,feb,yes
36,secondary,7,may,no
43,tertiary,18,jul,no
43,secondary,2,feb,no
35,tertiary,26,aug,no
46,secondary,18,nov,no
67,primary,17,aug,no
47,tertiary,27,mar,no
34,tertiary,5,feb,no
35,secondary,2,jun,no
38,tertiary,27,may,no
29,tertiary,6,may,no
40,secondary,12,may,no
56,secondary,17,aug,no
53,secondary,9,may,no
31,tertiary,21,apr,yes
53,unknown,27,may,no
28,secondary,14,may,no
47,tertiary,16,jun,no
52,primary,4,feb,no
40,secondary,20,jun,no
37,primary,31,jul,no
47,secondary,26,jun,no
49,primary,15,may,no
53,secondary,16,jun,no
41,tertiary,20,jun,no
39,secondary,28,jul,no
53,secondary,21,nov,no
59,secondary,3,feb,no
36,secondary,16,jun,no
58,primary,19,jun,no
33,secondary,14,may,no
32,tertiary,18,oct,no
34,secondary,28,jan,yes
50,tertiary,17,nov,no
42,tertiary,20,aug,no
72,tertiary,12,jul,no
44,primary,6,may,no
30,tertiary,8,feb,yes
37,tertiary,30,apr,no
30,secondary,23,sep,no
57,primary,7,jul,no
46,secondary,21,nov,no
34,tertiary,17,apr,no
44,primary,5,jun,no
30,secondary,17,apr,no
58,secondary,29,jan,no
38,secondary,28,jul,no
41,secondary,14,may,no
30,tertiary,5,aug,no
50,primary,7,may,no
44,secondary,30,may,no
41,primary,28,may,no
59,primary,13,may,no
51,secondary,27,aug,no
71,secondary,21,aug,yes
41,tertiary,19,aug,no
33,secondary,20,nov,no
46,tertiary,19,oct,no
53,primary,15,apr,no
36,tertiary,12,aug,yes
55,tertiary,16,jun,no
34,tertiary,21,aug,no
44,secondary,26,may,no
39,primary,31,jul,no
35,secondary,21,nov,no
47,tertiary,16,may,no
31,secondary,20,may,no
29,unknown,2,nov,yes
32,secondary,21,may,no
60,secondary,22,aug,no
38,tertiary,26,may,no
32,tertiary,26,aug,no
40,secondary,11,may,yes
27,secondary,28,may,no
44,primary,18,jun,no
64,tertiary,5,feb,no
33,secondary,14,may,no
57,secondary,7,may,no
34,secondary,16,jul,yes
58,secondary,28,jan,no
56,primary,12,may,no
26,secondary,4,jul,no
33,tertiary,2,feb,no
27,secondary,15,may,no
36,secondary,4,jun,no
28,secondary,18,may,no
24,secondary,15,may,no
49,tertiary,20,jun,no
33,secondary,3,jun,no
66,primary,27,oct,no
55,secondary,16,jun,no
59,secondary,18,nov,no
39,tertiary,1,oct,no
51,secondary,23,jul,no
51,secondary,9,jun,no
48,secondary,28,aug,no
47,secondary,6,apr,no
45,primary,20,nov,yes
49,unknown,20,nov,no
59,secondary,22,feb,no
60,secondary,28,aug,no
52,secondary,2,jun,yes
53,secondary,13,aug,no
44,tertiary,3,apr,no
24,secondary,6,nov,yes
34,secondary,28,may,no
24,unknown,4,jun,no
36,secondary,30,may,no
59,tertiary,17,nov,no
27,tertiary,8,jul,no
57,secondary,12,may,no
29,primary,22,jul,no
28,secondary,20,apr,no
45,tertiary,9,jul,no
47,secondary,13,aug,no
37,secondary,27,may,yes
44,secondary,2,jun,no
56,secondary,12,jun,no
38,tertiary,20,nov,yes
38,secondary,5,may,no
48,secondary,2,feb,no
31,primary,10,jul,no
29,tertiary,9,jul,no
39,primary,9,jun,no
29,secondary,27,may,no
56,primary,27,may,no
64,primary,30,jul,yes
28,secondary,13,may,no
23,secondary,3,jun,no
58,primary,28,aug,no
39,secondary,15,jul,no
70,primary,4,may,no
51,tertiary,16,mar,no
41,secondary,19,aug,no
44,secondary,13,may,no
37,tertiary,5,jun,no
40,tertiary,17,apr,no
34,secondary,25,jul,no
36,unknown,10,aug,yes
29,primary,8,jul,no
50,tertiary,20,jun,no
38,secondary,20,nov,no
40,secondary,8,aug,no
38,tertiary,4,aug,yes
31,tertiary,7,aug,no
26,secondary,5,mar,no
55,primary,17,jun,no
27,tertiary,16,may,no
70,secondary,30,oct,yes
32,secondary,6,aug,no
34,secondary,6,may,no
37,tertiary,25,may,no
40,secondary,16,jun,no
34,tertiary,5,jun,no
38,tertiary,30,apr,yes
30,secondary,18,aug,no
39,tertiary,16,apr,no
44,tertiary,21,jul,no
41,primary,17,nov,no
44,secondary,2,jun,no
58,secondary,5,jun,no
56,primary,13,nov,yes
36,primary,16,jun,no
30,secondary,21,nov,no
29,primary,27,may,no
38,unknown,20,apr,no
24,tertiary,12,may,no
33,secondary,4,aug,no
40,secondary,13,aug,no
42,tertiary,23,jul,no
44,secondary,12,aug,yes
28,secondary,23,jul,no
29,tertiary,12,may,no
51,primary,7,aug,no
44,secondary,2,jun,no
54,secondary,13,may,no
33,secondary,7,apr,no
56,tertiary,20,nov,no
41,secondary,13,may,no
49,primary,20,nov,no
56,secondary,22,aug,no
47,secondary,18,nov,no
30,secondary,21,nov,no
46,unknown,19,jun,no
34,tertiary,21,nov,no
31,secondary,21,nov,no
47,secondary,26,aug,no
57,primary,11,jun,no
35,primary,31,jul,no
35,tertiary,9,nov,no
45,primary,18,jun,no
28,tertiary,31,jul,no
34,tertiary,16,may,no
35,secondary,9,jul,no
33,tertiary,29,aug,no
28,primary,19,jun,no
36,secondary,9,jul,no
36,primary,17,apr,no
65,primary,1,sep,no
43,tertiary,4,jun,yes
35,secondary,17,apr,no
41,primary,8,may,no
39,tertiary,30,may,no
40,secondary,7,apr,no
48,secondary,29,jul,no
40,primary,12,may,no
41,secondary,8,jul,no
31,secondary,7,may,no
37,secondary,8,apr,no
33,secondary,30,may,no
42,secondary,27,may,no
32,primary,4,jul,no
33,secondary,16,may,no
60,primary,27,may,no
30,secondary,26,aug,no
35,secondary,12,jun,no
29,tertiary,5,may,no
44,tertiary,11,jun,no
33,tertiary,18,nov,no
47,secondary,19,oct,yes
38,secondary,27,jan,yes
31,tertiary,27,may,no
35,primary,24,jul,no
36,tertiary,28,aug,no
33,primary,8,aug,no
28,primary,13,may,no
28,tertiary,12,aug,no
34,secondary,14,may,no
36,secondary,2,jun,no
33,secondary,8,aug,no
42,secondary,9,jun,no
34,unknown,7,may,no
42,secondary,9,may,no
48,primary,11,jun,no
42,secondary,9,jul,no
48,secondary,9,jul,no
60,secondary,21,aug,no
51,primary,5,may,no
49,secondary,11,jul,yes
60,primary,13,may,no
38,secondary,30,may,no
40,primary,5,may,no
31,secondary,17,apr,no
47,secondary,8,aug,no
74,primary,30,sep,no
46,secondary,19,nov,no
56,secondary,20,apr,no
28,secondary,18,jul,no
40,secondary,11,may,no
51,primary,9,jun,no
35,secondary,21,aug,no
32,secondary,14,aug,no
42,secondary,26,jun,no
25,secondary,5,mar,yes
49,unknown,5,may,no
58,primary,18,mar,no
58,secondary,31,jul,yes
39,tertiary,23,oct,no
30,tertiary,22,aug,no
35,secondary,19,nov,no
38,unknown,9,jun,no
40,tertiary,18,nov,no
49,secondary,26,oct,no
33,secondary,25,jul,no
39,tertiary,2,jul,yes
41,secondary,7,may,no
32,tertiary,19,nov,no
58,tertiary,15,may,no
39,tertiary,12,may,yes
38,tertiary,22,aug,no
37,secondary,8,sep,no
38,secondary,20,jun,no
32,secondary,27,may,no
47,tertiary,27,feb,no
34,tertiary,3,aug,yes
32,tertiary,13,may,yes
26,secondary,15,may,no
42,unknown,20,apr,no
34,secondary,13,may,no
57,unknown,28,may,no
55,tertiary,11,may,no
29,secondary,8,may,no
53,unknown,28,jul,no
42,secondary,13,may,yes
37,unknown,20,may,no
34,primary,17,apr,no
50,tertiary,8,may,no
31,tertiary,4,may,yes
22,secondary,5,may,no
28,secondary,4,feb,no
30,secondary,20,aug,no
35,secondary,6,jun,no
52,primary,11,aug,no
29,tertiary,3,aug,no
28,primary,8,may,no
42,tertiary,5,feb,no
53,secondary,27,may,yes
41,tertiary,8,may,no
59,unknown,5,feb,no
57,tertiary,9,may,no
55,primary,26,jun,no
33,secondary,6,may,no
58,secondary,11,may,no
41,secondary,11,aug,no
60,secondary,11,jul,yes
66,tertiary,5,aug,no
57,primary,19,aug,no
66,secondary,6,feb,yes
55,unknown,13,may,no
31,secondary,28,may,no
51,secondary,21,jul,no
30,tertiary,7,aug,no
31,unknown,6,jun,no
42,tertiary,2,feb,no
27,secondary,29,jun,no
54,primary,17,apr,no
49,secondary,17,nov,no
32,secondary,2,jun,no
41,primary,2,feb,no
43,primary,8,may,no
27,secondary,26,may,no
30,secondary,25,may,no
51,secondary,29,jan,no
31,secondary,4,jun,yes
48,primary,6,jun,no
26,secondary,3,jun,no
40,secondary,15,may,no
56,tertiary,6,may,no
36,secondary,29,aug,no
45,secondary,26,may,no
52,secondary,30,jul,no
40,secondary,20,nov,no
39,tertiary,13,may,no
41,unknown,19,may,no
59,tertiary,22,may,no
35,tertiary,8,may,no
59,primary,20,nov,no
49,secondary,18,may,no
40,secondary,2,jun,yes
43,primary,20,nov,yes
48,secondary,13,may,no
46,secondary,4,feb,no
34,secondary,20,aug,no
39,secondary,23,apr,yes
47,secondary,18,may,no
39,primary,4,jun,no
33,primary,18,may,no
34,secondary,1,apr,no
59,primary,31,jul,no
59,primary,19,jun,no
39,tertiary,3,jun,no
32,secondary,30,jan,no
29,secondary,28,may,no
42,secondary,7,may,no
43,secondary,17,apr,no
27,secondary,30,jan,no
39,primary,20,may,no
29,tertiary,29,jul,no
58,secondary,2,feb,no
44,secondary,8,may,no
49,tertiary,9,jul,no
49,secondary,5,jun,no
38,secondary,17,apr,no
41,primary,9,may,no
30,secondary,3,jun,no
36,secondary,23,may,no
36,secondary,17,jun,no
36,tertiary,14,may,no
53,secondary,7,apr,no
57,tertiary,25,jul,no
55,tertiary,5,jun,no
30,primary,5,feb,no
59,secondary,29,may,no
50,tertiary,8,may,no
35,secondary,14,aug,no
39,secondary,30,jan,no
41,secondary,6,may,no
30,secondary,5,feb,no
33,secondary,5,feb,no
44,tertiary,14,aug,yes
30,tertiary,12,jan,yes
26,primary,16,may,no
39,secondary,4,jun,no
51,tertiary,23,jul,no
28,secondary,9,sep,no
32,tertiary,10,aug,yes
31,secondary,8,aug,no
31,secondary,26,may,no
31,secondary,11,aug,no
42,secondary,5,feb,no
40,secondary,8,may,no
35,secondary,20,aug,no
46,tertiary,14,oct,no
29,secondary,15,may,no
41,secondary,19,aug,no
52,secondary,27,may,no
59,tertiary,20,may,no
71,tertiary,27,oct,no
51,primary,7,aug,no
38,secondary,2,feb,no
48,tertiary,19,aug,no
40,secondary,13,may,no
45,secondary,6,feb,no
39,tertiary,27,aug,no
42,tertiary,14,aug,no
31,secondary,12,may,no
30,tertiary,6,may,yes
35,tertiary,14,may,no
41,secondary,9,jul,no
45,unknown,5,feb,no
40,secondary,12,jun,no
53,primary,20,may,no
48,tertiary,23,jul,no
60,primary,27,jun,no
48,tertiary,26,may,yes
32,secondary,21,may,no
42,tertiary,11,aug,no
39,secondary,20,jun,no
37,secondary,11,may,no
35,secondary,14,jul,no
34,tertiary,20,aug,no
55,primary,27,jun,no
45,secondary,16,jul,no
56,primary,21,apr,yes
31,secondary,31,jul,no
37,secondary,12,may,no
50,primary,13,may,no
36,secondary,18,nov,no
35,tertiary,15,may,no
56,secondary,20,jun,no
28,secondary,6,may,no
37,secondary,21,nov,no
32,tertiary,21,may,no
53,unknown,19,aug,no
44,primary,9,feb,no
32,secondary,17,apr,no
41,tertiary,28,jan,no
33,secondary,18,may,no
40,secondary,12,jun,no
36,secondary,20,jun,no
43,tertiary,11,may,no
58,unknown,5,jun,no
53,primary,20,jun,no
41,primary,12,may,no
49,primary,18,nov,no
35,tertiary,5,aug,no
23,secondary,3,jun,no
32,secondary,25,jul,no
40,secondary,16,jun,no
39,secondary,6,jun,no
38,unknown,13,may,no
36,primary,26,jun,no
28,secondary,30,jul,no
35,primary,30,may,no
33,secondary,23,may,no
26,secondary,3,jun,yes
63,secondary,16,nov,no
54,secondary,31,jul,no
69,secondary,3,sep,no
54,primary,20,apr,no
28,tertiary,13,may,no
40,primary,9,feb,no
26,secondary,9,jul,no
40,secondary,20,nov,no
48,secondary,7,aug,no
55,secondary,2,jun,no
46,secondary,17,jun,no
50,primary,21,nov,no
53,secondary,28,may,no
26,secondary,28,jul,no
33,tertiary,11,aug,yes
45,secondary,20,nov,no
31,tertiary,29,apr,no
35,secondary,20,may,no
33,tertiary,8,jul,no
32,tertiary,18,nov,no
45,tertiary,12,may,no
37,secondary,8,aug,yes
31,secondary,13,nov,yes
33,tertiary,19,nov,no
40,tertiary,20,apr,no
58,secondary,18,nov,no
53,secondary,17,jun,no
48,primary,2,jun,no
50,tertiary,19,aug,no
53,primary,14,may,no
34,tertiary,18,nov,no
55,secondary,30,jul,no
29,tertiary,29,jan,no
47,tertiary,24,jul,no
39,unknown,3,feb,no
34,tertiary,17,apr,no
49,secondary,23,may,no
48,secondary,9,jul,no
36,secondary,6,feb,no
30,tertiary,5,may,no
51,primary,19,nov,no
41,secondary,29,aug,no
34,secondary,26,may,no
