hi_int_prncp_pd,out_prncp_inv,loan_amnt,int_rate,term
0,1723.11,3000,12.62,36
0,0,5000,9.75,36
0,0,24000,26.24,60
1,33891.34,35000,17.97,60
0,25226.93,28000,8.46,36
0,0,14200,17.86,60
1,7322.51,10000,11.98,36
1,17204.88,26850,16.02,36
0,0,5500,9.49,36
0,11247.86,15000,9.43,36
0,0,10000,14.07,36
0,9495.63,12000,5.31,36
0,0,24000,20.75,60
0,0,13000,5.32,36
0,2405.07,6000,11.39,36
0,0,7000,10.99,36
0,0,8000,9.93,36
1,11057.71,12000,22.35,60
1,8093.61,10000,13.59,60
0,0,20000,13.11,36
0,0,33825,16.99,36
0,10624.91,30000,14.99,36
1,22527.2,25000,13.06,60
0,0,30000,14.49,60
0,0,20000,11.47,36
1,14397.3,19200,9.43,36
0,0,15000,14.99,36
0,0,10000,9.93,60
0,0,30000,11.53,36
0,1425.49,14000,15.31,36
1,19207.32,29150,21.45,36
0,0,25000,6.97,36
0,0,25000,6.92,36
0,0,6500,16.02,36
0,7398.56,9000,7.21,36
0,0,28000,14.16,36
0,0,28000,17.86,60
0,0,2500,9.17,36
0,0,4000,16.99,36
0,0,40000,7.39,36
0,1902.58,10000,10.99,36
0,12163.47,21000,21.45,36
0,5811.01,25000,15.59,36
0,0,40000,11.99,60
0,0,16000,5.32,36
1,8269.58,12000,12.74,60
0,0,30000,13.33,60
0,0,11200,7.97,36
0,0,14000,15.99,36
0,0,22000,13.44,60
0,11485.56,19000,6.71,36
0,0,18000,7.69,36
0,4025.73,6000,9.44,36
0,18132.69,28000,10.42,36
0,0,20000,11.53,36
1,15894.55,20175,15.05,60
0,0,11900,13.33,60
0,0,6000,7.89,36
0,0,16000,12.29,36
0,0,5725,11.44,36
1,3772.24,9300,12.74,36
0,0,30000,11.39,60
0,1374.44,6550,16.29,36
0,0,1200,13.66,36
0,0,10000,9.75,36
0,0,14675,24.5,60
0,0,5000,13.18,36
0,4651.58,9000,11.99,36
1,12935.76,24000,17.27,60
0,0,15000,10.15,36
1,21135.43,24000,15.04,60
1,884.06,1000,13.56,36
0,0,6000,6.99,36
0,0,12000,11.99,36
0,21.34,10000,10.49,60
0,18779.06,20000,8.19,60
1,16066.68,18025,30.99,60
0,0,7500,10.99,36
1,5345.14,11150,9.44,36
0,0,20000,7.26,36
0,0,12500,8.19,36
0,0,15000,7.24,36
0,0,7050,14.46,36
0,0,12000,20.2,60
0,0,25000,11.99,36
0,0,12500,10.42,36
0,0,35000,9.17,36
0,0,3300,11.47,36
0,0,3600,9.93,36
0,0,12000,13.49,60
0,0,12000,13.66,60
1,15305.16,16000,25.81,60
0,0,20000,14.99,60
0,0,10000,24.85,36
0,0,6000,13.59,36
0,12844.83,24000,9.44,36
0,0,15000,13.98,36
1,15973.71,16550,25.34,60
0,0,10000,10.99,36
1,4690.14,15000,21.49,36
0,32262.52,35000,10.47,60
0,19254.73,25000,7.34,36
0,0,20000,13.33,60
0,0,11100,19.52,36
0,0,5000,18.99,36
0,0,24000,14.31,36
0,0,13000,7.34,36
1,3085.41,6800,26.24,36
0,0,3000,10.15,36
0,0,5000,5.32,36
1,9266.14,12000,17.47,36
0,0,3000,12.29,36
0,0,7700,10.75,36
0,1256.68,7000,7.99,36
0,6990.41,10000,18.06,36
0,0,9175,17.57,36
1,25503.47,30000,13.59,60
0,0,12000,12.29,36
0,0,30000,7.89,36
0,0,6400,18.99,36
0,12564.77,25200,7.07,36
0,0,21500,5.32,36
0,1337.3,13100,20.2,60
0,1018.54,11200,6.49,36
1,11782.33,13000,20.39,60
0,0,14000,16.99,60
0,0,20000,12.29,60
1,814.68,8000,15.31,36
0,0,7000,10.99,36
1,15280.53,16000,14.47,36
0,1378.7,7000,13.99,36
0,0,18000,6.24,36
1,3388.66,19000,14.49,60
0,0,20000,8.99,60
0,0,10000,8.59,36
0,11106.76,24000,12.62,36
1,5196.66,9700,24.85,36
0,1013.83,2500,12.74,36
0,0,15900,28.88,60
0,0,10000,11.22,36
0,1764.19,2400,16.14,36
0,4518.44,5000,10.47,36
0,0,2000,15.31,36
1,23145.07,24000,13.56,60
0,0,8000,15.61,36
0,0,20000,11.49,36
0,0,14000,17.09,60
0,4621.11,6000,7.34,36
0,0,15000,14.99,60
0,0,25000,13.49,36
1,12734.65,15000,17.09,60
0,0,20000,7.62,36
0,0,9600,12.62,36
1,10129.67,13500,18.45,36
0,8972.52,15600,5.32,36
0,0,18000,19.53,36
0,8248.3,10000,8.46,36
0,0,15000,12.99,60
0,0,24000,13.49,60
0,0,20000,9.17,36
1,32576.88,35000,7.84,60
0,0,12000,14.49,60
0,8326.16,15000,7.35,36
0,0,2000,10.99,36
0,0,4800,11.99,36
0,3590.79,4000,6.11,36
1,18283.32,21000,20,60
0,17815.12,20000,14.07,60
0,0,9000,6.03,36
0,0,11000,11.99,60
0,0,16000,13.49,60
0,0,14400,9.99,60
1,4594.32,5600,17.47,36
0,0,12000,7.89,36
0,0,21000,13.53,36
0,0,12000,30.99,60
1,15411.32,18000,26.3,60
1,16972.39,24000,10.42,60
0,0,25000,7.49,36
0,0,20000,15.61,60
0,13398.74,16800,14.08,60
0,0,30000,8.39,36
0,0,28000,15.99,36
0,0,13000,15.05,36
0,0.19,6000,5.32,36
0,0,10000,10.99,36
0,0,13000,7.99,36
0,7032.72,8000,10.47,36
0,0,7000,12.99,36
1,22086.14,30000,13.59,36
0,0,24000,14.99,60
1,21103.73,35000,11.39,60
0,0,35000,11.99,60
0,4627.81,5000,10.33,36
0,0,20600,14.33,36
0,0,24000,19.99,60
0,22894.4,32000,6.71,36
1,10602.89,18000,14.49,60
0,0,15000,14.33,36
0,25878.06,32000,20,60
0,8537.67,14000,11.99,36
0,0,14900,14.16,36
0,0,19400,19.99,60
0,0,8400,7.49,36
0,0,7125,17.57,36
0,0,10000,13.49,36
1,3914.19,5000,12.13,36
0,7991.4,11200,6.07,36
0,21534.57,22600,11.31,36
0,0,16000,13.99,36
0,0,28000,8.9,36
0,9460.09,10500,8.46,36
1,24508.02,30000,11.99,60
0,0,5400,11.53,36
0,0,25000,8.59,36
0,0,20000,14.99,60
0,8643.63,12000,11.98,36
0,0,5000,16.99,36
0,12223.28,35000,13.49,36
0,0,30000,25.88,60
0,0,25000,11.44,60
0,0,30000,15.31,60
1,7478.97,15000,7.07,36
0,6198.44,14000,9.44,36
0,16755.16,20000,30.65,60
0,3832.96,7000,5.32,36
0,9428.68,15000,7.97,36
0,0,14000,9.17,36
0,0,6000,10.99,36
0,1552.69,4900,12.74,36
0,15596.74,30000,5.32,36
0,3520.22,4000,11.06,36
0,0,20000,8.19,36
0,0,8000,5.32,36
0,0,11000,21.45,60
1,12086.98,24000,16.02,36
0,2246.33,4800,13.99,36
1,4361.47,7000,7.46,36
0,0,25200,19.99,60
0,0,32625,15.99,60
0,0,2000,13.98,36
0,0,8000,8.24,36
0,0,15000,17.57,60
0,6314.15,10000,13.49,60
0,0,20000,8.18,60
0,6120.62,10000,7.97,36
0,0,6300,21.7,36
0,0,24000,12.39,36
0,0,10000,14.65,36
0,0,15000,11.8,60
0,0,19200,13.35,36
1,15563.61,18000,18.06,60
1,11729.75,15250,28.69,60
0,0,5200,8.18,36
0,0,6000,6.92,36
1,21941.43,25000,23.4,36
1,24511.94,30000,16.01,36
0,1805.14,5000,8.24,36
0,0,8000,7.39,36
0,0,10000,6.99,36
1,13168.48,15000,14.07,60
0,0,21600,9.49,60
0,0,18000,9.93,36
0,0,35000,18.55,36
0,0,5000,7.26,36
0,0,7800,7.89,36
0,16197.22,35000,12.62,36
0,0,18000,7.69,36
0,0,9000,13.67,36
0,0,7725,11.22,36
0,0,18000,9.49,36
1,4965.35,10000,14.08,36
0,0,25000,6.99,36
0,0,6100,16.59,36
0,13421.69,18000,7.96,36
0,3246.26,5000,10.91,36
1,22880.31,24000,14.47,60
0,0,1925,9.75,36
0,0,17000,16.99,60
0,0,10100,7.9,36
0,0,25000,11.99,36
0,28821.21,35000,7.84,36
0,3390.71,4500,9.43,36
0,0,6500,10.42,36
0,0,2500,12.49,36
0,0,17000,7.49,36
0,0,16000,22.99,60
0,0,21550,14.46,36
0,0,13200,15.59,36
0,0,7700,12.69,36
0,0,27500,21.18,36
0,0,18500,10.99,36
0,0,14000,13.33,60
0,2525.98,8700,13.99,36
1,8094.82,11000,16.02,60
0,7390.15,12000,18.99,60
1,18273.64,22200,17.09,60
0,1787.06,4000,8.24,36
0,0,8000,11.99,36
0,0,14000,18.06,36
0,0,15000,19.52,60
0,5781.66,7200,10.07,36
0,14997.19,20000,9.43,36
1,15299.16,20000,9.93,60
0,0,15550,12.74,36
0,0,10000,9.49,36
0,0,35000,17.57,36
0,0,18000,9.99,36
1,12714.57,16000,16.46,36
0,0,4800,13.49,36
0,0,14000,13.67,36
0,0,4450,7.96,36
0,0,6425,13.33,36
1,4579.85,8500,10.42,36
0,0,18625,19.99,60
0,0,10000,13.99,36
0,0,21000,9.17,36
0,12619.18,28000,8.39,60
1,238.3,3600,12.99,36
0,0,15000,12.99,36
0,0,7375,13.99,36
0,0,10500,15.31,36
0,0,21000,18.99,60
0,0,30000,14.99,60
1,7491.83,8000,18.94,36
0,0,24000,13.67,36
0,0,4125,15.59,36
0,0,8000,13.98,36
0,0,23800,8.99,36
0,4500.8,18000,10.49,36
1,5972.26,21000,10.99,60
0,5801.87,8000,9.92,36
0,0,24000,8.39,36
1,7261.29,10000,14.08,60
0,0,7000,10.99,36
0,0,14000,13.98,60
1,823.77,4000,17.99,36
0,0,35000,16.29,60
0,0,10000,13.66,36
0,4657.8,5500,6.67,36
0,0,15000,11.67,36
0,0,35000,19.47,36
0,0,35000,25.57,60
0,0,9675,8.19,36
0,509.11,1000,9.93,36
0,1301.55,8000,12.79,36
1,2053.44,3500,16.02,36
0,0,7200,11.48,36
0,7981.66,10000,8.08,36
0,0,10000,7.07,36
1,21454.97,25000,16.02,60
0,0,10000,14.99,36
0,7304.65,16000,10.91,36
0,0,1000,18.25,36
1,13029.38,15000,10.9,60
0,0,9925,7.97,36
0,0,8975,18.99,36
0,0,25200,16.99,60
0,0,5000,14.08,36
0,0,22000,8.39,60
0,0,35000,14.47,36
0,0,13000,9.99,36
0,0,10000,18.06,60
0,0,6000,12.39,36
0,3493.71,7000,7.21,36
0,0,4250,17.99,36
0,0,27450,17.14,60
0,0,8500,14.47,36
0,0,32000,11.49,36
0,0,14000,9.17,36
1,3120.66,6000,11.99,36
1,7434.93,15150,17.97,60
0,0,12000,11.99,36
0,0,20000,5.32,36
0,0,8500,7.21,36
0,32897.84,35000,20.89,60
0,0,12000,12.59,36
1,3841.79,6000,16.02,36
0,0,12000,9.92,60
0,0,21500,14.31,60
0,11153.06,14000,7.46,36
0,5469.24,10000,12.62,36
1,11748.03,13000,10.47,36
0,0,6500,25.88,36
1,5248.34,6000,7.84,36
0,0,11400,6.49,36
1,7860.02,9000,20.89,36
0,10661.83,25000,10.49,36
1,2123.27,21600,18.24,60
0,0,16000,21.45,60
0,0,6000,11.39,36
0,0,16000,6.89,36
0,0,2100,13.67,36
0,0,10000,18.45,60
0,0,11675,30.79,36
1,19602.42,25000,12.61,36
0,0,4800,18.55,36
0,0,7000,11.49,36
0,3939.3,5000,14.07,36
0,0,14000,5.31,36
0,0,20000,11.99,36
0,0,26075,21.99,60
0,14803.68,20000,6.07,36
0,10236.15,34825,5.32,36
0,0,7100,11.47,36
0,0,6000,7.89,36
0,0,24000,9.17,36
0,0,10000,8.39,36
0,0,12800,7.21,36
0,0,5000,8.18,36
0,0,3000,14.08,36
0,6639.8,15000,14.99,36
1,11152.98,14000,17.09,60
1,17981.77,25000,12.74,60
0,0,33600,11.47,36
0,0,25850,11.99,60
0,0,4000,10.56,36
0,0,9000,10.08,36
0,0,16000,9.17,36
0,0,10000,9.93,36
0,9442.26,16000,9.44,36
0,0,11375,18.25,60
0,3207.26,4000,9.58,36
1,11664.48,20000,15.05,36
0,1922.03,2500,6.83,36
1,11558.67,20000,13.59,36
0,4962.65,18000,9.17,60
0,0,20000,6.03,36
1,4792.76,14000,11.39,36
1,8944.25,20000,13.67,60
0,0,21600,12.59,36
1,39055.41,40000,13.56,60
0,17670.38,20000,20.39,60
0,0,4700,13.59,36
0,0,5050,17.99,36
1,520.24,12000,14.99,60
0,0,11325,14.16,36
0,0,14000,15.31,60
0,0,15000,11.47,36
0,0,18000,14.49,60
0,0,12000,24.99,60
0,0,32000,7.07,36
0,1946.27,8000,7.99,36
1,18435.4,28000,13.59,36
0,0,15000,17.57,36
1,10977.53,11200,19.92,60
0,0,10000,6.99,36
0,0,14350,13.66,36
0,0,1500,11.49,36
0,0,7000,9.93,36
1,13434.08,16000,18.06,60
0,0,6000,12.79,36
0,0,1000,14.65,36
1,8405.06,14400,15.59,60
0,0,8350,13.99,36
0,0,25000,6.49,36
0,0,12000,18.84,60
0,0,18000,18.99,60
0,0,8000,14.65,36
0,0,5600,10.49,36
0,0,11000,5.32,36
0,7154.46,10000,6.71,36
0,2368.68,4500,7.07,36
0,21938.69,30000,15.05,60
0,0,7200,14.46,36
0,0,10000,14.07,36
0,0,10000,10.42,36
0,0,6000,9.99,36
1,5686.98,12800,13.18,60
0,734.19,4200,18.99,36
0,0,11850,17.14,60
0,0,20000,12.79,36
0,0,18000,16.02,60
0,0,17000,11.53,36
0,0,24000,9.75,36
0,13586.82,16000,7.84,36
0,0,4500,19.99,36
0,0,6000,13.44,36
0,13515.81,25000,10.91,36
0,6066.66,12800,7.97,36
0,6419.3,16000,11.49,36
0,251.43,12000,10.99,60
1,7187.75,8000,6.11,36
0,0,10000,9.17,36
1,8114.64,15000,11.99,60
0,2783.81,3000,10.33,36
0,20416.25,25200,13.06,36
0,374.81,6000,8.39,36
0,6883.64,11000,17.99,60
0,2907.61,5000,7.07,36
0,0,4500,13.33,36
0,0,16000,14.65,36
0,0,20000,10.49,36
0,0,3600,13.58,36
0,0,5000,7.39,36
0,1962.26,7500,10.91,36
0,0,10000,6.89,36
0,0,24300,14.49,36
0,0,25000,13.67,36
0,19127.64,29500,18.45,60
0,0,20000,7.26,36
0,0,5000,11.99,36
0,0,35000,20.99,60
0,0,6600,12.99,36
0,0,5000,8.18,36
0,797.21,25000,9.75,36
0,0,24000,15.59,60
0,0,20000,16.99,36
0,0,12000,17.57,60
0,0,30000,17.27,36
0,9940.61,11000,10.47,36
0,0,10000,19.52,36
0,0,35000,11.49,36
0,0,7200,16.99,36
0,17473.29,20000,7.21,36
0,0,6000,6.99,36
0,0,35000,25.29,60
0,0,4300,15.99,36
0,4082.38,10000,13.49,36
0,32928,40000,9.93,60
0,0,24000,13.53,36
0,0,12000,6.24,36
0,23405.17,27900,30.94,60
0,2494.89,40000,8.39,36
0,0,19925,13.98,36
0,0,35000,16.99,36
0,0,10100,16.29,36
0,0,35000,9.75,36
0,0,16000,11.99,36
0,0,5125,13.33,36
0,3320.6,10000,8.24,36
0,0,11000,10.47,36
0,0,4000,9.49,36
0,0,35000,12.79,36
0,0,35000,18.99,36
1,23760.86,30000,16.02,60
0,0,19000,12.99,36
0,0,17000,7.91,36
0,0,15975,18.25,36
0,7526.36,10000,10.41,36
0,9554.04,10000,15.02,36
0,0,12000,5.32,36
0,0,20000,9.93,60
0,0,14400,17.57,60
0,0,11000,10.99,36
0,0,20000,28.69,60
1,1046.18,1500,9.44,36
0,13175.38,16000,7.84,36
0,0,12000,7.34,36
0,0,18000,18.99,60
0,6538.5,7500,6.11,36
0,0,16800,9.49,36
0,0,35000,14.99,60
1,11019.79,16000,6.72,36
0,0,23850,24.99,60
0,9573.13,20000,18.99,60
0,0,40000,7.96,36
0,15972.06,18000,17.47,60
0,8808.53,10000,11.55,36
0,964.61,13500,16.29,60
0,0,18000,9.17,36
0,4100.04,10000,13.99,36
0,0,2500,12.99,36
0,0,3500,9.43,36
1,7814.21,21000,13.33,60
1,2000.25,4000,15.05,36
0,449.42,15000,5.32,36
0,0,20000,9.75,36
0,0,15000,7.24,36
0,0,20000,7.35,36
0,0,33075,9.17,36
1,13516.32,15000,13.06,60
0,0,20000,15.05,60
0,0,28000,26.3,36
0,419.64,14000,5.32,36
0,0,24000,10.15,60
0,0,9600,13.99,36
1,10067.44,15000,14.99,60
0,0,35000,21.98,36
0,0,5600,11.99,36
1,18785.79,26000,17.47,36
0,0,24000,9.99,36
0,0,8000,13.59,36
1,7327.13,20000,12.29,60
1,24208.09,25000,17.97,60
0,0,20000,7.89,36
0,0,13425,10.49,36
0,0,20400,12.74,36
0,4161.24,12000,12.74,36
0,0,34550,13.49,36
0,0,12000,7.89,36
0,0,2500,23.4,36
0,0,15000,9.75,36
1,12927.36,16000,12.13,36
0,558.96,3325,15.59,36
0,0,8000,10.42,36
0,3829.39,14000,8.24,36
0,0,7500,13.59,36
0,0,20000,15.31,36
0,0,30000,9.43,60
0,0,20000,5.32,36
0,6443.04,8000,11.05,36
0,0,4000,13.99,36
1,17529.83,20000,13.58,60
0,0,8825,22.74,36
1,8473.91,12000,21.49,60
1,23016.96,25000,26.77,60
0,0,16000,5.32,36
1,14642.89,32000,15.41,60
0,1820.39,11500,10.49,36
0,0,5000,7.89,36
0,0,27000,20.5,60
0,0,4000,9.17,36
0,2894.64,24000,9.44,36
0,0,13700,17.57,36
0,0,35000,10.99,60
0,13283.44,18000,5.31,36
0,0,6000,11.49,36
1,8087.95,10000,9.93,60
0,0,31000,19.03,60
0,0,20000,15.61,60
1,14583,35000,14.65,60
0,0,35000,8.99,36
0,0,6500,10.49,36
0,0,5025,17.57,36
0,12300.13,30000,13.99,36
0,3884.87,20000,12.79,36
0,6989.17,20000,13.49,36
0,0,6000,13.35,36
0,1659.65,21500,20.39,60
0,0,14000,12.62,60
0,0,35000,9.17,36
1,13896.22,25000,15.05,36
0,0,3500,14.33,36
0,5671.71,14400,16.02,36
0,382.66,12000,9.75,36
0,0,25000,12.99,36
0,0,8000,12.29,36
0,0,8400,14.46,36
0,0,15000,9.99,36
0,12045.21,15000,10.07,36
1,19474.72,24000,14.08,60
0,18085.35,22000,7.21,36
0,5201.87,9500,5.32,36
0,11337.55,35000,14.99,36
0,0,7000,11.67,36
0,0,7000,16.55,36
0,6150.49,8000,6.83,36
0,0,7800,17.99,36
0,11675.22,15000,10.41,36
0,4344.21,5600,9.43,36
0,20551.54,25000,7.21,36
0,0,6000,10.42,36
0,5140.22,15000,11.49,36
0,0,15000,9.17,36
0,0,19000,22.9,36
0,11333.37,13000,6.11,36
0,0,17975,18.25,60
0,0,30000,10.75,60
0,0,8000,10.99,36
0,0,8000,14.31,36
0,0,13500,15.59,60
1,3276.8,5000,12.62,36
0,7017.51,20000,13.99,36
1,2414.94,5000,10.42,36
0,0,5500,14.99,36
0,0,12000,7.97,36
0,0,20000,13.99,36
0,6626.04,10000,13.49,60
0,27095.18,36000,10.41,36
0,7500.02,10000,9.43,36
0,1852.78,4000,12.74,36
0,0,20000,9.17,36
1,18970.94,21000,14.03,60
1,18166.95,20000,10.47,60
0,3467.75,10000,12.74,36
0,4407.86,6400,6.72,36
0,0,6500,6.08,36
0,25604.41,27000,10.47,60
0,0,20000,6.03,36
0,0,4000,8.24,36
0,0,40000,7.97,36
0,5167.25,8000,9.93,36
0,1397.49,22000,9.75,36
1,13845.84,35000,10.99,60
0,10191.89,16000,7.35,36
1,11584.92,20000,15.59,60
0,0,4000,15.61,36
1,31926.8,40000,8.08,36
0,0,3000,16.99,36
0,0,15000,25.49,60
1,6669.98,7000,11.31,36
1,25509.47,27000,7.84,60
0,0,10000,20,60
0,0,1400,7.97,36
0,17276.49,24000,9.93,60
1,28809.92,35000,17.09,60
0,0,7000,9.99,36
1,6282.05,8000,13.06,36
0,19358.9,21000,10.47,60
0,3287.71,6000,5.32,36
0,22369.1,32000,9.93,36
0,1241.66,3000,6.99,36
1,7499.52,10325,16.99,60
0,27897.95,31050,6.67,36
0,8658.51,13000,7.97,36
0,0,17000,14.16,60
0,0,8500,6.92,36
0,3467.75,10000,12.74,36
0,0,12000,24.85,60
0,0,15000,8.39,60
0,9390.84,13800,24.99,60
0,0,16000,7.26,36
0,0,21000,5.32,36
0,0,8400,9.49,36
0,0,20000,5.32,36
0,0,5000,9.16,36
0,0,8800,16.29,36
0,0,12000,13.99,36
0,5613.95,16000,13.99,36
0,0,12000,7.69,36
0,0,6500,7.9,36
1,8410.81,9000,16.91,36
0,0,10000,13.49,36
0,6942.37,14000,12.99,60
0,0,10000,16.02,36
1,4122.75,15200,12.29,60
0,0,5375,17.86,36
0,14218.73,30000,7.97,36
0,12989.28,14000,6.11,60
0,0,20000,14.49,60
0,0,4500,15.31,36
1,1759.87,2400,12.61,36
0,0,16000,11.99,60
0,0,24450,13.49,36
0,0,10000,6.89,36
1,29452.06,40000,6.07,36
0,0,15000,19.03,36
1,23660.19,25000,17.97,60
0,0,15000,5.32,36
1,2614.51,12000,19.52,60
0,13142.23,20000,5.32,36
0,1658.45,2000,10.47,36
0,0,14000,7.9,36
0,0,9000,13.53,36
0,0,32000,18.99,60
0,10813.65,12000,8.46,36
1,9351.27,11000,13.59,60
0,0,20000,10.15,36
1,22294.81,40000,7.97,36
1,11870.21,15000,12.62,60
1,22584.41,25000,14.03,60
0,14001.21,15000,16.91,60
0,0,12000,10.75,36
0,0,7500,23.4,36
0,0,17725,17.86,60
0,0,15000,12.99,36
0,4536.39,16000,7.99,36
1,4961.99,6000,20.39,36
1,29066.57,35000,7.97,60
0,0,12000,6.24,36
0,0,35000,15.61,60
0,0,16000,26.24,60
0,0,23800,9.17,60
0,8730.68,15000,7.21,36
0,0,35000,17.57,36
0,0,30150,6.99,36
0,0,2500,18.54,36
0,6010.28,20000,11.06,36
0,0,5475,15.31,36
0,0,7250,12.99,36
1,8113.36,10000,14.08,60
0,0,22000,15.49,60
0,0,10000,6.08,36
0,0,16000,11.49,36
1,4113.28,5600,21.45,36
0,0,24000,13.99,60
0,0,35000,9.17,36
0,0,15000,9.99,36
0,0,15000,12.29,36
0,0,30000,16.99,60
0,0,24000,9.17,36
0,3878.55,8000,10.91,36
1,22825.38,26000,14.07,60
0,0,2500,12.59,36
0,0,32000,9.67,36
0,0,19475,5.32,36
0,0,15000,7.59,36
0,0,24000,11.53,60
0,0,15000,6.97,36
0,5999.08,8000,9.43,36
0,0,12000,15.59,60
1,22551.07,32000,9.93,60
0,0,9600,8.39,36
0,0,17000,13.98,60
0,0,8000,8.38,36
1,23880.24,25500,18.94,36
0,0,2500,14.85,36
0,0,10000,5.93,36
0,18397.36,32000,12.62,36
1,20854.69,22925,21.85,60
0,0,19775,12.59,36
0,0,35000,13.35,60
1,599.47,20000,5.32,36
0,0,15000,6.24,36
0,0,20000,15.61,60
0,0,20000,10.15,36
1,22975.16,33600,22.74,60
1,21259.74,25000,8.46,36
0,0,18900,8.9,36
1,14717.91,20000,16.02,60
1,17762.98,20000,16.14,36
0,4499.09,6000,9.43,36
0,13948.8,16000,6.11,36
1,22140.87,25000,12.13,60
1,13611.61,35000,25.49,36
0,0,35000,14.65,60
0,0,24000,16.02,36
0,7420.34,15000,13.59,36
1,23035.39,32000,9.93,60
0,0,12000,11.98,36
0,0,20000,9.93,36
1,20339.61,30000,13.49,60
1,7155.31,16000,13.67,60
0,0,12000,14.49,36
1,14182.34,16000,15.02,36
0,5110.37,10000,10.42,36
1,11182.48,15000,15.05,60
1,3591.85,10000,10.99,60
0,0,8475,12.99,36
0,0,20000,6.49,36
1,3905.21,8000,16.02,36
0,0,24000,8.18,36
1,29504.89,40000,14.07,36
1,9980.88,13600,9.93,60
0,24830.34,40000,10.42,36
0,21976.34,30000,9.44,60
0,0,15000,6.03,36
0,0,18000,13.98,60
0,7166.91,25000,12.74,36
0,4300.08,15000,12.74,36
0,0,15000,6.49,36
0,6088.88,12000,9.44,36
0,9503.84,10000,20.89,60
0,0,9600,19.99,36
0,0,17500,17.99,36
1,3898.18,4500,16.91,36
0,0,5500,10.99,36
0,0,35000,14.46,60
0,11926.29,15000,6.83,36
0,0,6800,7.62,36
0,0,4000,7.99,36
1,4834.65,9600,16.02,36
