carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
12949,bmw, 7 Series,2017,Semi-Auto,34017,Diesel,125,57.4595,3
16723,bmw, 7 Series,2015,Automatic,52000,Diesel,145,56.5154,3
12627,bmw, 7 Series,2017,Semi-Auto,6431,Diesel,145,54.2389,3
15379,bmw, 7 Series,2017,Semi-Auto,34335,Diesel,145,54.4019,3
15206,bmw, 7 Series,2018,Semi-Auto,39196,Diesel,145,54.0581,3
18847,bmw, 7 Series,2016,Semi-Auto,20619,Diesel,145,54.0803,3
14372,bmw, 7 Series,2016,Semi-Auto,34820,Diesel,145,54.0995,3
16808,bmw, 7 Series,2016,Semi-Auto,39085,Diesel,145,54.0408,3
14877,bmw, 7 Series,2015,Automatic,65218,Diesel,145,54.0798,3
19523,bmw, 7 Series,2017,Automatic,73348,Diesel,145,54.2049,3
16962,bmw, 7 Series,2017,Semi-Auto,15405,Diesel,145,54.0775,3
15960,bmw, 7 Series,2017,Automatic,27791,Diesel,145,53.7119,3
13522,bmw, 7 Series,2017,Automatic,19812,Diesel,145,53.4797,3
17413,bmw, 7 Series,2016,Semi-Auto,15143,Diesel,160,52.4009,3
14710,bmw, 7 Series,2018,Semi-Auto,7123,Diesel,145,52.0207,3
18466,bmw, 7 Series,2014,Automatic,53329,Diesel,160,50.7862,3
16729,bmw, 7 Series,2013,Automatic,81035,Diesel,160,50.5176,3
16461,bmw, 7 Series,2014,Automatic,59640,Diesel,160,50.1289,3
12371,bmw, 7 Series,2014,Semi-Auto,74269,Diesel,165,50.0422,3
13561,bmw, 7 Series,2012,Automatic,66294,Diesel,160,50.2674,3
13492,bmw, 7 Series,2015,Automatic,65397,Diesel,160,49.5072,3
15137,bmw, 7 Series,2019,Automatic,7414,Diesel,145,45.0064,3
17498,bmw, 7 Series,2019,Semi-Auto,7606,Diesel,145,44.8668,3
18682,bmw, 7 Series,2019,Semi-Auto,706,Diesel,145,44.1562,3
16547,bmw, 7 Series,2019,Semi-Auto,3200,Diesel,145,44.3878,3
19070,bmw, 7 Series,2019,Semi-Auto,5113,Diesel,145,44.2210,3
18348,bmw, 7 Series,2019,Semi-Auto,9931,Diesel,145,44.1556,3
16989,bmw, 7 Series,2019,Automatic,7689,Diesel,145,44.0709,3
16626,bmw, 7 Series,2020,Semi-Auto,3500,Diesel,145,42.5637,3
12455,bmw, 7 Series,2019,Semi-Auto,2212,Diesel,145,41.9347,3
16419,bmw, 7 Series,2019,Semi-Auto,6249,Diesel,145,42.1048,3
17584,bmw, 7 Series,2020,Semi-Auto,6555,Diesel,145,41.9440,3
15726,bmw, 7 Series,2020,Semi-Auto,1501,Diesel,145,42.4424,3
16432,bmw, 7 Series,2019,Semi-Auto,7515,Diesel,150,41.9871,3
13899,bmw, 7 Series,2016,Semi-Auto,24446,Petrol,205,41.7241,3
14595,bmw, 7 Series,2019,Automatic,4202,Diesel,145,41.8885,3
15016,bmw, 7 Series,2014,Automatic,51932,Hybrid,195,41.5911,3
15813,bmw, 7 Series,2019,Automatic,4330,Diesel,145,41.2516,3
13772,bmw, 7 Series,2019,Semi-Auto,1501,Diesel,145,41.6282,3
14833,bmw, 7 Series,2019,Semi-Auto,101,Diesel,145,41.1341,3
14675,bmw, 7 Series,2020,Semi-Auto,10300,Diesel,145,41.3528,3
14732,bmw, 7 Series,2018,Semi-Auto,22892,Petrol,145,41.2924,3
12044,bmw, 7 Series,2016,Semi-Auto,23600,Petrol,200,41.4035,3
17205,bmw, 7 Series,2019,Semi-Auto,4884,Diesel,145,41.5335,3
13489,bmw, 7 Series,2012,Automatic,134000,Diesel,250,41.4035,3
13501,bmw, 7 Series,2019,Automatic,8546,Diesel,145,41.4156,3
12775,bmw, 7 Series,2019,Semi-Auto,2919,Diesel,145,41.5568,3
18236,bmw, 7 Series,2019,Automatic,1775,Diesel,145,41.4587,3
18947,bmw, 7 Series,2012,Automatic,76000,Diesel,260,41.5163,3
18757,bmw, 7 Series,2016,Semi-Auto,18190,Petrol,200,40.0741,3
13268,bmw, 7 Series,2017,Semi-Auto,22879,Petrol,205,40.6075,3
18440,bmw, 7 Series,2017,Semi-Auto,7500,Petrol,150,35.4928,4.4
13131,bmw, 7 Series,2016,Semi-Auto,21224,Petrol,300,35.3711,4.4
19162,bmw, 7 Series,2017,Semi-Auto,14550,Petrol,145,35.1064,4.4
12478,bmw, 7 Series,2016,Automatic,8814,Petrol,300,35.2923,4.4
17617,bmw, 7 Series,2017,Semi-Auto,28998,Petrol,300,35.5098,4.4
12164,bmw, 7 Series,2019,Automatic,339,Petrol,145,34.0718,3
13411,bmw, 7 Series,2019,Semi-Auto,10135,Petrol,150,34.4473,3
17071,bmw, 7 Series,2019,Semi-Auto,7780,Petrol,145,34.4199,3
15799,bmw, 7 Series,2019,Semi-Auto,10504,Petrol,145,34.5290,3
14258,bmw, 7 Series,2007,Automatic,83000,Diesel,325,34.6066,2.5
16671,bmw, 7 Series,2006,Automatic,81000,Diesel,325,34.6236,3
17136,bmw, 7 Series,2019,Semi-Auto,2218,Petrol,145,33.5937,3
13879,bmw, 7 Series,2019,Semi-Auto,19870,Petrol,150,33.6531,3
16360,bmw, 7 Series,2014,Semi-Auto,24528,Petrol,300,32.8503,4.4
19437,bmw, 7 Series,2017,Automatic,22000,Petrol,150,22.2669,6.6
16694,bmw, 7 Series,2017,Automatic,11297,Petrol,145,22.0567,6.6
17480,bmw, 8 Series,2019,Semi-Auto,1135,Diesel,145,40.6412,3
17725,bmw, 8 Series,2019,Semi-Auto,5441,Diesel,145,40.4553,3
18039,bmw, 8 Series,2019,Automatic,10000,Diesel,145,40.0615,3
17331,bmw, 8 Series,2020,Semi-Auto,101,Diesel,145,40.7380,3
19123,bmw, 8 Series,2020,Semi-Auto,3000,Diesel,145,40.7424,3
13093,bmw, 8 Series,2019,Semi-Auto,5529,Diesel,150,40.4995,3
15673,bmw, 8 Series,2019,Automatic,1616,Diesel,145,39.7819,3
19527,bmw, 8 Series,2019,Semi-Auto,3489,Diesel,145,39.7076,3
12109,bmw, 8 Series,2019,Semi-Auto,5923,Diesel,150,39.8443,3
12470,bmw, 8 Series,2019,Semi-Auto,12,Diesel,150,39.9023,3
15070,bmw, 8 Series,2019,Semi-Auto,2650,Diesel,145,39.9314,3
17186,bmw, 8 Series,2019,Semi-Auto,9731,Diesel,145,40.0482,3
16807,bmw, 8 Series,2019,Automatic,8000,Petrol,145,33.6560,3
18966,bmw, 8 Series,2019,Automatic,5883,Petrol,145,33.8530,3
17529,bmw, 8 Series,2020,Semi-Auto,3242,Petrol,150,33.4102,3
14586,bmw, 8 Series,2019,Semi-Auto,8966,Petrol,145,33.2604,3
17209,bmw, 8 Series,2019,Semi-Auto,2395,Petrol,145,32.8494,3
14750,bmw, 8 Series,2020,Semi-Auto,1501,Petrol,145,31.4320,3
13103,bmw, 8 Series,2020,Semi-Auto,11,Petrol,145,31.7982,3
19017,bmw, 8 Series,2020,Semi-Auto,700,Petrol,145,31.3937,3
16792,bmw, 8 Series,2018,Semi-Auto,3891,Petrol,145,26.8331,4.4
16477,bmw, 8 Series,2019,Automatic,11111,Petrol,150,26.8480,4.4
12251,bmw, 8 Series,2020,Semi-Auto,151,Diesel,145,26.7376,3
16708,bmw, 8 Series,2019,Semi-Auto,3369,Petrol,150,26.3668,4.4
16890,bmw, 8 Series,2019,Semi-Auto,8200,Petrol,145,26.3671,4.4
16012,bmw, 8 Series,2019,Semi-Auto,3185,Petrol,145,24.3467,4.4
14932,bmw, 8 Series,2019,Semi-Auto,88,Petrol,145,23.9597,4.4
12404,audi, A7,2017,Semi-Auto,34132,Diesel,30,62.9364,3
12097,audi, A7,2017,Semi-Auto,37000,Diesel,145,62.8490,3
14666,audi, A7,2017,Semi-Auto,30150,Diesel,145,62.5448,3
18140,audi, A7,2016,Automatic,40674,Diesel,125,61.5044,3
18387,audi, A7,2016,Semi-Auto,27386,Diesel,125,61.6270,3
14403,audi, A7,2016,Automatic,48669,Diesel,125,61.0334,3
13703,audi, A7,2016,Automatic,56670,Diesel,125,61.1857,3
12761,audi, A7,2017,Semi-Auto,16236,Diesel,145,61.5550,3
12322,audi, A7,2016,Semi-Auto,40809,Diesel,125,61.3183,3
15032,audi, A7,2017,Semi-Auto,24337,Diesel,150,55.1061,3
15573,audi, A7,2013,Automatic,93080,Diesel,145,55.1558,3
17750,audi, A7,2011,Automatic,64675,Diesel,145,55.5966,3
14894,audi, A7,2015,Semi-Auto,72283,Diesel,145,54.1936,3
13532,audi, A7,2014,Automatic,47317,Diesel,145,54.0521,3
13113,audi, A7,2016,Semi-Auto,21023,Diesel,145,54.4081,3
18469,audi, A7,2015,Semi-Auto,41656,Diesel,145,54.6596,3
12033,audi, A7,2014,Semi-Auto,29319,Diesel,145,54.4675,3
13748,audi, A7,2011,Automatic,74408,Diesel,145,53.1863,3
16800,audi, A7,2016,Automatic,30122,Diesel,150,53.1315,3
15026,audi, A7,2017,Semi-Auto,34201,Diesel,145,52.3278,3
19399,audi, A7,2019,Automatic,10,Diesel,145,52.2477,3
16875,audi, A7,2017,Semi-Auto,14468,Diesel,145,52.2989,3
15074,audi, A7,2017,Semi-Auto,38519,Diesel,145,52.3950,3
12080,audi, A7,2017,Semi-Auto,21134,Diesel,145,52.7379,3
17120,audi, A7,2017,Semi-Auto,14562,Diesel,145,52.0592,3
14903,audi, A7,2017,Automatic,30884,Diesel,145,52.0470,3
15706,audi, A7,2015,Automatic,55457,Diesel,165,52.1165,3
13542,audi, A7,2015,Manual,47000,Diesel,160,52.3424,3
15001,audi, A7,2017,Automatic,40763,Diesel,160,52.5847,3
16971,audi, A7,2015,Automatic,17078,Diesel,160,52.6375,3
14408,audi, A7,2015,Semi-Auto,34995,Diesel,165,51.9432,3
12931,audi, A7,2015,Semi-Auto,55449,Diesel,160,52.4189,3
18595,audi, A7,2016,Semi-Auto,26000,Diesel,160,52.5859,3
17455,audi, A7,2018,Semi-Auto,27431,Diesel,145,52.0773,3
18712,audi, A7,2019,Automatic,13450,Diesel,140,52.2058,3
18701,audi, A7,2013,Automatic,63250,Diesel,205,48.6644,3
13494,audi, A7,2019,Semi-Auto,6000,Diesel,145,48.6317,2
12937,audi, A7,2014,Automatic,75000,Diesel,200,48.9290,3
18963,audi, A7,2019,Automatic,978,Diesel,145,48.8979,2
18328,audi, A7,2014,Automatic,57000,Diesel,200,48.7954,3
14222,audi, A7,2019,Semi-Auto,5724,Diesel,145,48.4348,2
15554,audi, A7,2013,Automatic,75775,Diesel,200,47.8355,3
18708,audi, A7,2014,Automatic,61140,Diesel,200,47.8381,3
17382,audi, A7,2014,Automatic,69743,Diesel,200,47.9515,3
16621,audi, A7,2013,Automatic,63000,Diesel,200,47.9141,3
19488,audi, A7,2014,Automatic,42709,Diesel,200,47.7719,3
12336,audi, A7,2013,Automatic,76597,Diesel,200,48.1549,3
19302,audi, A7,2019,Automatic,15302,Diesel,145,46.9204,2
15115,audi, A7,2019,Automatic,3000,Diesel,145,46.9829,2
19200,audi, A7,2019,Semi-Auto,76,Diesel,145,47.0510,2
16393,audi, A7,2019,Semi-Auto,13502,Diesel,150,47.3106,2
12257,audi, A7,2019,Semi-Auto,4100,Diesel,145,47.4788,2
16980,audi, A7,2019,Semi-Auto,933,Diesel,145,45.6053,2
17259,audi, A7,2014,Automatic,58732,Diesel,235,44.4076,3
16519,audi, A7,2014,Semi-Auto,44247,Diesel,235,44.4993,3
13912,audi, A7,2014,Automatic,55774,Diesel,235,44.3934,3
18146,audi, A7,2018,Semi-Auto,13082,Petrol,145,39.9156,3
16636,audi, A7,2019,Automatic,5201,Diesel,145,38.9299,3
13277,audi, A7,2019,Semi-Auto,4000,Diesel,145,38.7079,3
18642,audi, A7,2019,Semi-Auto,7968,Diesel,145,39.0212,3
15025,audi, A7,2020,Semi-Auto,500,Diesel,145,38.4128,3
16825,audi, A7,2019,Automatic,7656,Diesel,145,38.8531,3
19127,audi, A7,2020,Semi-Auto,2410,Diesel,145,38.4969,3
17101,audi, A7,2019,Automatic,6112,Diesel,145,38.7923,3
12620,audi, A7,2020,Semi-Auto,6150,Diesel,145,38.7492,3
18316,audi, A7,2020,Semi-Auto,1200,Diesel,150,37.9991,3
18856,audi, A7,2020,Automatic,1200,Diesel,150,38.2592,3
19045,audi, A7,2019,Automatic,4288,Diesel,145,38.4134,3
13145,audi, A7,2018,Semi-Auto,6850,Diesel,145,38.5704,3
16622,audi, A7,2019,Automatic,984,Diesel,145,37.9632,3
15886,audi, A7,2018,Automatic,4000,Diesel,145,38.2442,3
17867,audi, A7,2019,Semi-Auto,7799,Diesel,145,38.5136,3
18905,audi, A7,2019,Automatic,11500,Diesel,145,38.3282,3
16866,audi, A7,2015,Semi-Auto,13815,Petrol,260,37.4628,3
18047,audi, A7,2019,Automatic,4700,Diesel,145,35.8694,3
18954,audi, A7,2019,Automatic,6785,Diesel,145,35.7188,3
14239,audi, A7,2019,Automatic,1932,Diesel,145,35.4872,3
18726,audi, A7,2019,Semi-Auto,2055,Diesel,150,36.0771,3
12466,audi, A8,2018,Automatic,11300,Diesel,145,50.4716,3
19133,audi, A8,2019,Automatic,5900,Diesel,145,50.6673,3
13559,audi, A8,2018,Semi-Auto,12195,Diesel,145,50.2815,3
19234,audi, A8,2017,Automatic,3793,Diesel,145,50.3068,3
15034,audi, A8,2018,Semi-Auto,12285,Diesel,145,50.5065,3
18562,audi, A8,2018,Semi-Auto,13512,Diesel,145,50.5583,3
12844,audi, A8,2018,Semi-Auto,10249,Diesel,145,50.7792,3
17438,audi, A8,2018,Automatic,3000,Diesel,145,50.5335,3
17479,audi, A8,2017,Semi-Auto,4685,Diesel,145,50.4698,3
16132,audi, A8,2019,Automatic,5000,Diesel,145,50.8013,3
14250,audi, A8,2017,Automatic,1420,Diesel,145,50.3805,3
14119,audi, A8,2018,Automatic,7919,Diesel,145,50.3922,3
17632,audi, A8,2018,Semi-Auto,22688,Diesel,145,50.3766,3
19173,audi, A8,2017,Automatic,3338,Diesel,145,50.5856,3
14759,audi, A8,2018,Automatic,5289,Diesel,145,50.5728,3
17560,audi, A8,2019,Semi-Auto,5904,Diesel,145,50.7884,3
18489,audi, A8,2018,Automatic,15486,Diesel,145,50.2498,3
14422,audi, A8,2018,Semi-Auto,12640,Diesel,150,50.4980,3
13253,audi, A8,2018,Semi-Auto,7500,Diesel,145,50.4381,3
12886,audi, A8,2018,Automatic,20360,Diesel,145,50.7446,3
14865,audi, A8,2018,Semi-Auto,16850,Diesel,150,50.3647,3
18477,audi, A8,2018,Semi-Auto,20672,Diesel,145,50.0934,3
13829,audi, A8,2018,Semi-Auto,6098,Diesel,145,50.3539,3
17996,audi, A8,2018,Automatic,1000,Diesel,145,50.5024,3
13753,audi, A8,2016,Semi-Auto,33620,Diesel,160,49.6887,3
18351,audi, A8,2016,Automatic,37235,Diesel,205,48.7434,3
14957,audi, A8,2018,Semi-Auto,11341,Diesel,145,48.5949,3
13130,audi, A8,2018,Semi-Auto,11000,Diesel,145,48.6167,3
12771,audi, A8,2015,Automatic,35361,Diesel,200,48.5647,3
15392,audi, A8,2016,Automatic,26818,Diesel,200,47.8641,3
13949,audi, A8,2016,Automatic,70000,Diesel,200,48.1044,3
17583,audi, A8,2015,Semi-Auto,52891,Diesel,205,48.0518,3
14378,audi, A8,2015,Automatic,46558,Diesel,200,47.8682,3
12920,audi, A8,2015,Semi-Auto,54174,Diesel,205,47.9553,3
14713,audi, A8,2015,Automatic,40275,Diesel,200,47.8898,3
17347,audi, A8,2016,Semi-Auto,25691,Diesel,200,47.8974,3
15558,audi, A8,2015,Automatic,41522,Diesel,200,47.7854,3
18496,audi, A8,2015,Semi-Auto,42565,Diesel,200,48.0743,3
16451,audi, A8,2017,Semi-Auto,37492,Diesel,205,47.1685,3
18405,audi, A8,2017,Semi-Auto,45000,Diesel,145,46.9468,3
15966,audi, A8,2017,Automatic,15830,Diesel,200,47.1895,3
19012,audi, A8,2012,Automatic,70894,Diesel,235,43.8660,3
19108,audi, A8,2013,Automatic,43903,Diesel,235,43.8415,3
12426,audi, A8,2013,Automatic,43052,Diesel,235,43.9805,3
17481,audi, A8,2012,Automatic,75920,Diesel,235,44.0475,3
16946,audi, A8,2011,Automatic,105000,Diesel,235,43.1518,3
15122,audi, A8,2019,Automatic,2117,Diesel,145,40.3748,3
17082,audi, A8,2018,Automatic,2249,Diesel,145,40.3996,3
18743,audi, A8,2019,Automatic,7890,Diesel,145,40.3186,3
16441,audi, A8,2018,Semi-Auto,4524,Diesel,145,40.5699,3
12175,audi, A8,2020,Semi-Auto,1100,Diesel,145,40.6999,3
13576,audi, A8,2019,Automatic,3000,Diesel,145,40.5906,3
15191,audi, A8,2019,Semi-Auto,100,Diesel,145,40.1512,3
18452,audi, A8,2019,Automatic,4850,Diesel,145,40.3219,3
15493,audi, A8,2019,Automatic,1910,Diesel,145,40.5986,3
18288,audi, A8,2018,Automatic,5022,Diesel,145,40.2857,3
18117,audi, A8,2019,Automatic,2931,Diesel,145,40.6961,3
12944,audi, A8,2019,Automatic,5000,Diesel,145,40.5616,3
13694,audi, A8,2018,Semi-Auto,6173,Diesel,145,40.0686,3
19048,audi, A8,2018,Semi-Auto,2905,Diesel,145,40.5445,3
16810,audi, A8,2019,Semi-Auto,1000,Diesel,145,40.2124,3
12302,audi, A8,2019,Automatic,178,Diesel,145,39.2140,3
16865,audi, A8,2020,Automatic,3452,Diesel,145,38.9962,3
16491,audi, A8,2019,Automatic,755,Diesel,145,39.3344,3
14546,audi, A8,2020,Semi-Auto,2000,Diesel,145,39.5411,3
19298,audi, A8,2020,Semi-Auto,1354,Diesel,145,39.0541,3
15652,audi, A8,2019,Automatic,6269,Diesel,145,38.6689,3
18340,audi, A8,2016,Semi-Auto,39000,Diesel,300,38.4366,4.2
17849,audi, A8,2019,Automatic,12009,Diesel,145,38.4060,3
14904,audi, A8,2012,Automatic,64900,Diesel,300,37.9838,4.2
13415,audi, A8,2019,Automatic,5000,Petrol,145,37.6250,3
19098,audi, A8,2018,Automatic,4284,Petrol,145,37.9534,3
13491,audi, A8,2018,Automatic,2490,Petrol,145,37.4546,3
17698,audi, A8,2018,Semi-Auto,5760,Petrol,145,37.8559,3
13924,audi, A8,2019,Automatic,1000,Petrol,145,37.8095,3
18544,audi, A8,2019,Automatic,16584,Petrol,145,37.8144,3
14141,audi, A8,2019,Semi-Auto,10090,Petrol,145,37.7065,3
16452,audi, A8,2018,Automatic,10250,Petrol,145,37.9713,3
13228,audi, A8,2018,Semi-Auto,4440,Petrol,145,37.3964,3
12568,audi, A8,2006,Automatic,104000,Diesel,325,33.3244,3
12917,audi, A8,2016,Automatic,33063,Petrol,330,29.8372,4
18841,audi, A8,2019,Automatic,8076,Petrol,145,28.9525,3
12625,audi, A8,2017,Automatic,16975,Petrol,555,28.2325,4
13200,audi, A8,1997,Automatic,122000,Petrol,265,19.3511,4.2
12959,vauxhall, Agila,2014,Manual,45400,Petrol,20,59.7374,1
17912,vauxhall, Agila,2015,Manual,18953,Petrol,20,60.1604,1
15894,vauxhall, Agila,2014,Manual,34267,Petrol,30,55.1431,1.2
16697,vauxhall, Agila,2011,Manual,28299,Petrol,30,55.3011,1.2
17889,vauxhall, Agila,2014,Manual,25102,Petrol,30,55.4781,1.2
14437,vauxhall, Agila,2013,Manual,21461,Petrol,30,55.6403,1.2
13911,vauxhall, Agila,2009,Manual,62000,Petrol,125,51.5761,1.2
12492,vauxhall, Agila,2008,Manual,63000,Petrol,145,51.4618,1.2
19226,vauxhall, Agila,2011,Automatic,19079,Petrol,145,49.2035,1.2
12650,vauxhall, Agila,2013,Automatic,31090,Petrol,145,49.8617,1.2
13796,vauxhall, Agila,2014,Automatic,18488,Petrol,145,49.3389,1.2
17745,vauxhall, Agila,2012,Automatic,32028,Petrol,145,49.4278,1.2
17014,vauxhall, Agila,2013,Automatic,43000,Petrol,145,49.8022,1.2
14689,vauxhall, Agila,2009,Automatic,21098,Petrol,160,48.0949,1.2
15488,vauxhall, Agila,2005,Manual,36000,Petrol,165,47.0816,1.2
13894,vauxhall, Agila,2004,Manual,62000,Petrol,145,43.3783,1
14055,vauxhall, Agila,2003,Manual,90000,Petrol,205,43.1709,1.2
17633,vw, Amarok,2017,Automatic,22000,Diesel,260,36.3146,3
12751,vw, Amarok,2018,Automatic,23371,Diesel,265,35.9141,3
18894,vw, Amarok,2018,Automatic,13764,Diesel,260,36.4406,3
14084,vw, Amarok,2017,Automatic,25624,Diesel,260,36.3056,3
19473,vw, Amarok,2018,Automatic,45325,Diesel,260,36.0916,3
16739,vw, Amarok,2018,Automatic,31000,Diesel,260,36.2593,3
19339,vw, Amarok,2017,Automatic,51214,Diesel,260,35.9115,3
17513,vw, Amarok,2018,Automatic,35000,Diesel,260,36.2083,3
16809,vw, Amarok,2018,Automatic,20811,Diesel,260,36.0811,3
18104,vw, Amarok,2018,Automatic,18397,Diesel,260,36.5858,3
13465,vw, Amarok,2017,Automatic,69123,Diesel,260,36.1099,3
13382,vw, Amarok,2019,Automatic,12500,Diesel,260,36.0246,3
14736,vw, Amarok,2018,Automatic,54000,Diesel,260,36.1972,3
14407,vw, Amarok,2015,Manual,49961,Diesel,265,36.1094,2
16907,vw, Amarok,2017,Automatic,30653,Diesel,260,36.2020,3
14965,vw, Amarok,2018,Automatic,38360,Diesel,260,36.1683,3
19250,vw, Amarok,2018,Automatic,18906,Diesel,265,36.3707,3
17609,vw, Amarok,2017,Automatic,28347,Diesel,260,36.0715,3
12876,vw, Amarok,2017,Automatic,27540,Diesel,260,36.2625,3
14002,vw, Amarok,2017,Automatic,39408,Diesel,260,36.1713,3
14478,vw, Amarok,2019,Automatic,9895,Diesel,260,36.0473,3
18497,vw, Amarok,2018,Automatic,12231,Diesel,260,36.3415,3
